route_name,age_band,passenger_count
HYD -> MAA,Young Adult (18-35),16
HYD -> MAA,Youth (<18),7
MAA -> BLR,Middle Aged (36-50),8
MAA -> BLR,Senior (65+),14
MAA -> BLR,Senior Adult (51-65),15
MAA -> BLR,Young Adult (18-35),16
MAA -> BLR,Youth (<18),11
MAA -> BOM,Middle Aged (36-50),2
MAA -> BOM,Senior (65+),1
MAA -> BOM,Senior Adult (51-65),6
MAA -> BOM,Young Adult (18-35),5
MAA -> BOM,Youth (<18),7
MAA -> CCU,Middle Aged (36-50),3
MAA -> CCU,Senior (65+),6
MAA -> CCU,Senior Adult (51-65),4
MAA -> CCU,Young Adult (18-35),5
MAA -> CCU,Youth (<18),6
MAA -> DEL,Middle Aged (36-50),6
MAA -> DEL,Senior (65+),2
MAA -> DEL,Senior Adult (51-65),8
MAA -> DEL,Young Adult (18-35),4
MAA -> DEL,Youth (<18),4
MAA -> HYD,Middle Aged (36-50),4
MAA -> HYD,Senior (65+),4
MAA -> HYD,Senior Adult (51-65),6
MAA -> HYD,Young Adult (18-35),4
MAA -> HYD,Youth (<18),2
