flight_id,airline_code,airline_name,route_name,departure_time,arrival_time,duration_minutes,route_mean_duration,ml_is_anomaly,ml_anomaly_score
SJ049,SJ,SpiceJet,CCU -> DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,240.0,153.61111111111111,0,0.1552
6F086,6E,IndiGo,MAA -> HYD,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,37.0,160.0,0,0.4564
AI220,AI,Air India,BOM -> DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,98.0,153.82051282051282,0,0.0979
AI188,AI,Air India,CCU -> HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,166.0,152.23809523809524,0,0.2067
6F114,6E,IndiGo,BOM -> MAA,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,50.0,183.40740740740742,0,0.6469
SJ179,SJ,SpiceJet,DEL -> HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,210.0,174.75925925925927,0,0.1354
6F190,6E,IndiGo,DEL -> MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,274.0,178.7826086956522,0,0.2953
SJ003,SJ,SpiceJet,MAA -> CCU,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,42.0,158.54166666666666,0,0.3551
6F028,6E,IndiGo,HYD -> CCU,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,120.0,167.15384615384616,0,0.1112
UK036,UK,Vistara,CCU -> BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,264.0,167.35,0,0.2336
SJ160,SJ,SpiceJet,MAA -> BLR,2026-04-20 19:45:41.703,2026-04-20 20:30:41.703,45.0,172.8153846153846,0,0.4648
6F151,6E,IndiGo,CCU -> HYD,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,140.0,152.23809523809524,0,0.2199
UK140,UK,Vistara,MAA -> BLR,2026-04-20 19:37:41.703,2026-04-20 21:00:41.703,83.0,172.8153846153846,0,0.1613
AI115,AI,Air India,MAA -> BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,289.0,172.8153846153846,0,0.3702
AI132,AI,Air India,BLR -> BOM,2026-04-20 19:32:41.702,2026-04-20 21:41:41.702,129.0,147.73333333333332,0,0.3429
UK209,UK,Vistara,MAA -> BLR,2026-04-20 19:02:41.704,2026-04-20 21:47:41.704,165.0,172.8153846153846,0,0.2039
SJ043,SJ,SpiceJet,MAA -> DEL,2026-04-20 18:59:41.701,2026-04-20 21:08:41.701,129.0,155.96153846153845,0,0.1499
UK176,UK,Vistara,HYD -> BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,248.0,162.76923076923077,0,0.166
UK216,UK,Vistara,MAA -> HYD,2026-04-20 18:33:41.704,2026-04-20 21:47:41.704,194.0,160.0,0,0.1598
UK150,UK,Vistara,DEL -> CCU,2026-04-20 18:31:41.703,2026-04-20 19:01:41.703,30.0,151.73076923076923,0,0.464
UK145,UK,Vistara,BOM -> HYD,2026-04-20 18:30:41.703,2026-04-20 20:41:41.703,131.0,180.84615384615384,0,0.2049
6F270,6E,IndiGo,HYD -> MAA,2026-04-20 18:14:41.701,2026-04-20 19:02:41.701,48.0,152.80701754385964,0,0.2526
6F012,6E,IndiGo,CCU -> HYD,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,205.0,152.23809523809524,0,0.1042
SJ236,SJ,SpiceJet,MAA -> BOM,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,239.0,176.76190476190476,0,0.1621
6F149,6E,IndiGo,BLR -> CCU,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,165.0,128.52380952380952,0,0.6056
UK004,UK,Vistara,BOM -> CCU,2026-04-20 17:56:41.700,2026-04-20 18:30:41.700,34.0,169.51111111111112,0,0.5327
UK010,UK,Vistara,MAA -> HYD,2026-04-20 17:53:41.701,2026-04-20 20:40:41.701,167.0,160.0,0,0.2135
UK215,UK,Vistara,BOM -> DEL,2026-04-20 17:38:41.704,2026-04-20 19:50:41.704,132.0,153.82051282051282,0,0.1253
SJ116,SJ,SpiceJet,HYD -> CCU,2026-04-20 17:33:41.702,2026-04-20 19:02:41.702,89.0,167.15384615384616,0,0.0735
SJ023,SJ,SpiceJet,HYD -> MAA,2026-04-20 17:27:41.701,2026-04-20 19:09:41.701,102.0,152.80701754385964,0,0.0685
UK152,UK,Vistara,BOM -> CCU,2026-04-20 17:24:41.703,2026-04-20 20:13:41.703,169.0,169.51111111111112,0,0.2744
SJ202,SJ,SpiceJet,CCU -> HYD,2026-04-20 17:21:41.703,2026-04-20 19:08:41.703,107.0,152.23809523809524,0,0.0474
6F043,6E,IndiGo,BOM -> HYD,2026-04-20 17:17:41.701,2026-04-20 18:43:41.701,86.0,180.84615384615384,0,0.1823
UK173,UK,Vistara,MAA -> BLR,2026-04-20 17:06:41.703,2026-04-20 21:22:41.703,256.0,172.8153846153846,0,0.1063
SJ081,SJ,SpiceJet,BOM -> BLR,2026-04-20 17:04:41.702,2026-04-20 18:53:41.702,109.0,176.52173913043478,0,0.0487
UK153,UK,Vistara,CCU -> HYD,2026-04-20 16:52:41.703,2026-04-20 20:53:41.703,241.0,152.23809523809524,0,0.1334
UK187,UK,Vistara,BLR -> BOM,2026-04-20 16:52:41.703,2026-04-20 18:42:41.703,110.0,147.73333333333332,0,0.1667
UK055,UK,Vistara,HYD -> DEL,2026-04-20 16:48:41.701,2026-04-20 19:31:41.701,163.0,185.35714285714286,0,0.352
UK181,UK,Vistara,MAA -> DEL,2026-04-20 16:44:41.703,2026-04-20 19:26:41.703,162.0,155.96153846153845,0,0.1753
UK074,UK,Vistara,BOM -> DEL,2026-04-20 16:44:41.702,2026-04-20 18:41:41.702,117.0,153.82051282051282,0,0.0587
SJ068,SJ,SpiceJet,BLR -> BOM,2026-04-20 16:44:41.701,2026-04-20 18:48:41.701,124.0,147.73333333333332,0,0.2364
AI242,AI,Air India,BLR -> CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,62.0,128.52380952380952,0,0.6811
SJ237,SJ,SpiceJet,BOM -> CCU,2026-04-20 16:32:41.704,2026-04-20 19:00:41.704,148.0,169.51111111111112,0,0.0834
6F194,6E,IndiGo,BOM -> CCU,2026-04-20 16:29:41.703,2026-04-20 18:27:41.703,118.0,169.51111111111112,0,0.0002
UK063,UK,Vistara,DEL -> BOM,2026-04-20 16:29:41.701,2026-04-20 17:41:41.701,72.0,178.10714285714286,0,0.2678
UK068,UK,Vistara,BLR -> MAA,2026-04-20 16:28:41.701,2026-04-20 18:09:41.701,101.0,187.3125,0,0.3944
UK224,UK,Vistara,CCU -> MAA,2026-04-20 16:25:41.704,2026-04-20 20:24:41.704,239.0,171.29166666666666,0,0.0715
UK077,UK,Vistara,HYD -> BOM,2026-04-20 16:22:41.702,2026-04-20 18:00:41.702,98.0,155.4814814814815,0,0.0458
UK207,UK,Vistara,MAA -> CCU,2026-04-20 16:21:41.703,2026-04-20 17:36:41.703,75.0,158.54166666666666,0,0.1446
AI221,AI,Air India,MAA -> HYD,2026-04-20 16:18:41.703,2026-04-20 18:54:41.703,156.0,160.0,0,0.2674
UK109,UK,Vistara,BLR -> BOM,2026-04-20 16:06:41.702,2026-04-20 17:06:42.000,60.0,147.73333333333332,0,0.3174
UK089,UK,Vistara,BOM -> HYD,2026-04-20 15:38:41.702,2026-04-20 19:50:41.702,252.0,180.84615384615384,0,0.1784
AI072,AI,Air India,BLR -> CCU,2026-04-20 15:34:41.702,2026-04-20 16:32:41.702,58.0,128.52380952380952,0,0.7096
UK131,UK,Vistara,BOM -> DEL,2026-04-20 15:33:41.702,2026-04-20 19:39:41.702,246.0,153.82051282051282,0,0.1418
SJ150,SJ,SpiceJet,BOM -> HYD,2026-04-20 15:33:41.702,2026-04-20 19:03:41.702,210.0,180.84615384615384,0,0.2348
6F097,6E,IndiGo,BLR -> BOM,2026-04-20 15:32:41.702,2026-04-20 16:49:41.702,77.0,147.73333333333332,0,0.2581
6F123,6E,IndiGo,DEL -> HYD,2026-04-20 15:26:41.702,2026-04-20 17:12:41.702,106.0,174.75925925925927,0,0.0596
6F017,6E,IndiGo,CCU -> BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,161.0,163.96969696969697,0,0.2228
6F245,6E,IndiGo,CCU -> BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,161.0,163.96969696969697,0,0.2228
6F180,6E,IndiGo,MAA -> BLR,2026-04-20 15:24:41.703,2026-04-20 19:48:41.703,264.0,172.8153846153846,0,0.14
6F152,6E,IndiGo,CCU -> DEL,2026-04-20 15:21:41.703,2026-04-20 17:25:41.703,124.0,153.61111111111111,0,0.0745
SJ034,SJ,SpiceJet,MAA -> BOM,2026-04-20 15:20:41.701,2026-04-20 20:11:41.701,291.0,176.76190476190476,0,0.394
SJ142,SJ,SpiceJet,CCU -> BOM,2026-04-20 15:14:41.702,2026-04-20 16:56:41.702,102.0,163.96969696969697,0,0.0738
UK189,UK,Vistara,BLR -> MAA,2026-04-20 15:07:41.703,2026-04-20 18:51:41.703,224.0,187.3125,0,0.4348
SJ044,SJ,SpiceJet,DEL -> CCU,2026-04-20 15:06:41.701,2026-04-20 17:43:41.701,157.0,151.73076923076923,0,0.208
SJ196,SJ,SpiceJet,DEL -> HYD,2026-04-20 14:58:41.703,2026-04-20 17:44:41.703,166.0,174.75925925925927,0,0.1142
6F188,6E,IndiGo,DEL -> HYD,2026-04-20 14:57:41.703,2026-04-20 19:39:41.703,282.0,174.75925925925927,0,0.2618
6F181,6E,IndiGo,BOM -> MAA,2026-04-20 14:55:41.703,2026-04-20 16:43:41.703,108.0,183.40740740740742,0,0.1662
6F077,6E,IndiGo,CCU -> DEL,2026-04-20 14:55:41.702,2026-04-20 19:13:41.702,258.0,153.61111111111111,0,0.178
SJ154,SJ,SpiceJet,BLR -> HYD,2026-04-20 14:47:41.702,2026-04-20 16:26:41.702,99.0,155.68421052631578,0,0.0234
AI025,AI,Air India,HYD -> DEL,2026-04-20 14:46:41.701,2026-04-20 17:11:41.701,145.0,185.35714285714286,0,0.2634
AI094,AI,Air India,DEL -> BLR,2026-04-20 14:44:41.702,2026-04-20 15:44:42.000,60.0,170.0344827586207,0,0.2676
6F191,6E,IndiGo,BLR -> DEL,2026-04-20 14:41:41.703,2026-04-20 15:11:41.703,30.0,156.94736842105263,0,0.5028
SJ085,SJ,SpiceJet,BLR -> MAA,2026-04-20 14:41:41.702,2026-04-20 19:11:41.702,270.0,187.3125,0,0.3745
6F261,6E,IndiGo,CCU -> DEL,2026-04-20 14:31:41.703,2026-04-20 17:29:41.703,178.0,153.61111111111111,0,0.0931
6F129,6E,IndiGo,DEL -> CCU,2026-04-20 14:28:41.702,2026-04-20 16:47:41.702,139.0,151.73076923076923,0,0.1957
6F254,6E,IndiGo,MAA -> BLR,2026-04-20 14:26:41.703,2026-04-20 18:01:41.703,215.0,172.8153846153846,0,0.0795
SJ185,SJ,SpiceJet,BOM -> CCU,2026-04-20 14:21:41.703,2026-04-20 15:21:41.703,60.0,169.51111111111112,0,0.2618
6F030,6E,IndiGo,BOM -> DEL,2026-04-20 14:20:41.701,2026-04-20 17:10:41.701,170.0,153.82051282051282,0,0.0895
SJ222,SJ,SpiceJet,BOM -> DEL,2026-04-20 14:15:41.703,2026-04-20 17:09:41.703,174.0,153.82051282051282,0,0.0976
6F259,6E,IndiGo,BOM -> DEL,2026-04-20 14:10:41.703,2026-04-20 15:21:41.703,71.0,153.82051282051282,0,0.1294
UK083,UK,Vistara,DEL -> HYD,2026-04-20 14:10:41.702,2026-04-20 14:59:41.702,49.0,174.75925925925927,0,0.424
6F051,6E,IndiGo,BLR -> BOM,2026-04-20 13:58:41.701,2026-04-20 15:58:41.701,120.0,147.73333333333332,0,0.2447
SJ088,SJ,SpiceJet,CCU -> MAA,2026-04-20 13:54:41.702,2026-04-20 14:26:41.702,32.0,171.29166666666666,0,0.5505
6F146,6E,IndiGo,HYD -> MAA,2026-04-20 13:51:41.703,2026-04-20 15:07:41.703,76.0,152.80701754385964,0,0.0967
6F047,6E,IndiGo,MAA -> DEL,2026-04-20 13:50:41.701,2026-04-20 15:55:41.701,125.0,155.96153846153845,0,0.0556
AI077,AI,Air India,CCU -> HYD,2026-04-20 13:45:41.702,2026-04-20 14:51:41.702,66.0,152.23809523809524,0,0.1465
UK134,UK,Vistara,HYD -> CCU,2026-04-20 13:44:41.702,2026-04-20 17:26:41.702,222.0,167.15384615384616,0,0.0759
AI056,AI,Air India,DEL -> MAA,2026-04-20 13:44:41.701,2026-04-20 17:39:41.701,235.0,178.7826086956522,0,0.1497
UK141,UK,Vistara,HYD -> MAA,2026-04-20 13:38:41.703,2026-04-20 15:59:41.703,141.0,152.80701754385964,0,0.1585
AI030,AI,Air India,CCU -> HYD,2026-04-20 13:33:41.701,2026-04-20 16:52:41.701,199.0,152.23809523809524,0,0.0777
AI029,AI,Air India,MAA -> DEL,2026-04-20 13:29:41.701,2026-04-20 17:53:41.701,264.0,155.96153846153845,0,0.221
SJ167,SJ,SpiceJet,MAA -> CCU,2026-04-20 13:18:41.703,2026-04-20 14:12:41.703,54.0,158.54166666666666,0,0.2307
UK017,UK,Vistara,BLR -> HYD,2026-04-20 13:14:41.701,2026-04-20 14:49:41.701,95.0,155.68421052631578,0,0.0075
6F229,6E,IndiGo,MAA -> DEL,2026-04-20 13:10:41.704,2026-04-20 14:30:41.704,80.0,155.96153846153845,0,0.0649
SJ117,SJ,SpiceJet,MAA -> BLR,2026-04-20 13:10:41.702,2026-04-20 17:06:41.702,236.0,172.8153846153846,0,0.0752
6F184,6E,IndiGo,MAA -> BOM,2026-04-20 13:05:41.703,2026-04-20 16:04:41.703,179.0,176.76190476190476,0,0.2607
AI031,AI,Air India,DEL -> MAA,2026-04-20 13:05:41.701,2026-04-20 16:11:41.701,186.0,178.7826086956522,0,0.2305
AI178,AI,Air India,CCU -> BLR,2026-04-20 13:04:41.703,2026-04-20 14:03:41.703,59.0,167.35,0,0.2952
SJ089,SJ,SpiceJet,HYD -> CCU,2026-04-20 12:42:41.702,2026-04-20 17:15:41.702,273.0,167.15384615384616,0,0.2496
UK166,UK,Vistara,HYD -> MAA,2026-04-20 12:39:41.703,2026-04-20 17:32:41.703,293.0,152.80701754385964,0,0.5482
UK104,UK,Vistara,DEL -> BOM,2026-04-20 12:30:41.702,2026-04-20 13:52:41.702,82.0,178.10714285714286,0,0.2435
6F168,6E,IndiGo,HYD -> DEL,2026-04-20 12:18:41.703,2026-04-20 15:58:41.703,220.0,185.35714285714286,0,0.3615
AI222,AI,Air India,BOM -> DEL,2026-04-20 12:10:41.703,2026-04-20 13:14:41.703,64.0,153.82051282051282,0,0.1448
SJ025,SJ,SpiceJet,BOM -> CCU,2026-04-20 12:02:41.701,2026-04-20 15:29:41.701,207.0,169.51111111111112,0,0.0605
6F255,6E,IndiGo,DEL -> BOM,2026-04-20 11:59:41.703,2026-04-20 15:33:41.703,214.0,178.10714285714286,0,0.1923
UK228,UK,Vistara,DEL -> MAA,2026-04-20 11:58:41.704,2026-04-20 15:08:41.704,190.0,178.7826086956522,0,0.276
6F158,6E,IndiGo,CCU -> MAA,2026-04-20 11:58:41.703,2026-04-20 16:04:41.703,246.0,171.29166666666666,0,0.107
SJ218,SJ,SpiceJet,DEL -> HYD,2026-04-20 11:58:41.703,2026-04-20 15:03:41.703,185.0,174.75925925925927,0,0.1884
6F034,6E,IndiGo,BOM -> DEL,2026-04-20 11:53:41.701,2026-04-20 12:49:41.701,56.0,153.82051282051282,0,0.165
UK156,UK,Vistara,MAA -> BLR,2026-04-20 11:50:41.703,2026-04-20 15:54:41.703,244.0,172.8153846153846,0,0.1292
6F105,6E,IndiGo,BLR -> BOM,2026-04-20 11:46:41.702,2026-04-20 12:58:41.702,72.0,147.73333333333332,0,0.2933
6F073,6E,IndiGo,DEL -> CCU,2026-04-20 11:38:41.702,2026-04-20 15:18:41.702,220.0,151.73076923076923,0,0.1561
SJ074,SJ,SpiceJet,DEL -> CCU,2026-04-20 11:21:41.701,2026-04-20 12:02:41.701,41.0,151.73076923076923,0,0.2784
6F234,6E,IndiGo,BOM -> DEL,2026-04-20 11:20:41.704,2026-04-20 14:11:41.704,171.0,153.82051282051282,0,0.1056
6F068,6E,IndiGo,BLR -> HYD,2026-04-20 11:17:41.701,2026-04-20 15:06:41.701,229.0,155.68421052631578,0,0.1262
6F074,6E,IndiGo,HYD -> BOM,2026-04-20 11:09:41.702,2026-04-20 14:29:41.702,200.0,155.4814814814815,0,0.09
AI038,AI,Air India,HYD -> MAA,2026-04-20 11:05:41.701,2026-04-20 15:44:41.701,279.0,152.80701754385964,0,0.3146
AI079,AI,Air India,CCU -> BLR,2026-04-20 11:04:41.702,2026-04-20 13:19:41.702,135.0,167.35,0,0.1449
SJ018,SJ,SpiceJet,BOM -> CCU,2026-04-20 10:58:41.701,2026-04-20 13:31:41.701,153.0,169.51111111111112,0,0.1511
6F018,6E,IndiGo,DEL -> BLR,2026-04-20 10:57:41.701,2026-04-20 11:43:41.701,46.0,170.0344827586207,0,0.3607
AI091,AI,Air India,CCU -> MAA,2026-04-20 10:52:41.702,2026-04-20 15:15:41.702,263.0,171.29166666666666,0,0.196
UK071,UK,Vistara,DEL -> HYD,2026-04-20 10:50:41.701,2026-04-20 14:06:41.701,196.0,174.75925925925927,0,0.151
AI019,AI,Air India,BOM -> CCU,2026-04-20 10:49:41.701,2026-04-20 11:51:41.701,62.0,169.51111111111112,0,0.2889
UK212,UK,Vistara,HYD -> MAA,2026-04-20 10:46:41.704,2026-04-20 11:31:41.704,45.0,152.80701754385964,0,0.2337
AI146,AI,Air India,BLR -> DEL,2026-04-20 10:40:41.702,2026-04-20 13:46:41.702,186.0,156.94736842105263,0,0.1353
6F232,6E,IndiGo,MAA -> BLR,2026-04-20 10:39:41.704,2026-04-20 12:22:41.704,103.0,172.8153846153846,0,0.0842
6F084,6E,IndiGo,CCU -> HYD,2026-04-20 10:34:41.702,2026-04-20 11:34:42.000,60.0,152.23809523809524,0,0.1601
AI129,AI,Air India,BOM -> CCU,2026-04-20 10:29:41.702,2026-04-20 13:38:41.702,189.0,169.51111111111112,0,0.1679
AI240,AI,Air India,MAA -> DEL,2026-04-20 10:19:41.704,2026-04-20 12:46:41.704,147.0,155.96153846153845,0,0.1679
6F091,6E,IndiGo,BLR -> CCU,2026-04-20 10:10:41.702,2026-04-20 11:36:41.702,86.0,128.52380952380952,1,0.7364
UK133,UK,Vistara,BOM -> DEL,2026-04-20 10:04:41.702,2026-04-20 13:16:41.702,192.0,153.82051282051282,0,0.1018
SJ007,SJ,SpiceJet,BOM -> CCU,2026-04-20 10:03:41.701,2026-04-20 14:53:41.701,290.0,169.51111111111112,0,0.3448
SJ141,SJ,SpiceJet,CCU -> DEL,2026-04-20 10:00:41.702,2026-04-20 13:37:41.702,217.0,153.61111111111111,0,0.1372
6F049,6E,IndiGo,HYD -> DEL,2026-04-20 10:00:41.701,2026-04-20 13:13:41.701,193.0,185.35714285714286,0,0.4351
SJ235,SJ,SpiceJet,BOM -> DEL,2026-04-20 09:57:41.704,2026-04-20 13:45:41.704,228.0,153.82051282051282,0,0.1304
UK087,UK,Vistara,HYD -> MAA,2026-04-20 09:49:41.702,2026-04-20 13:17:41.702,208.0,152.80701754385964,0,0.1123
UK170,UK,Vistara,BOM -> BLR,2026-04-20 09:42:41.703,2026-04-20 11:32:41.703,110.0,176.52173913043478,0,0.129
SJ078,SJ,SpiceJet,DEL -> HYD,2026-04-20 09:41:41.701,2026-04-20 12:49:41.701,188.0,174.75925925925927,0,0.2
SJ075,SJ,SpiceJet,MAA -> BLR,2026-04-20 09:26:41.701,2026-04-20 11:03:41.701,97.0,172.8153846153846,0,0.0934
AI159,AI,Air India,HYD -> BLR,2026-04-20 09:23:41.703,2026-04-20 11:36:41.703,133.0,162.76923076923077,0,0.209
UK120,UK,Vistara,HYD -> DEL,2026-04-20 09:19:41.702,2026-04-20 13:30:41.702,251.0,185.35714285714286,0,0.3965
AI059,AI,Air India,CCU -> DEL,2026-04-20 09:16:41.701,2026-04-20 11:43:41.701,147.0,153.61111111111111,0,0.1802
UK040,UK,Vistara,HYD -> CCU,2026-04-20 09:15:41.701,2026-04-20 10:32:41.701,77.0,167.15384615384616,0,0.2621
AI044,AI,Air India,MAA -> BLR,2026-04-20 09:03:41.701,2026-04-20 12:36:41.701,213.0,172.8153846153846,0,0.1204
AI078,AI,Air India,DEL -> BOM,2026-04-20 08:58:41.702,2026-04-20 13:28:41.702,270.0,178.10714285714286,0,0.2958
SJ226,SJ,SpiceJet,HYD -> BOM,2026-04-20 08:47:41.704,2026-04-20 12:54:41.704,247.0,155.4814814814815,0,0.1643
6F209,6E,IndiGo,MAA -> CCU,2026-04-20 08:40:41.703,2026-04-20 13:40:41.703,300.0,158.54166666666666,0,0.6292
UK193,UK,Vistara,HYD -> DEL,2026-04-20 08:39:41.703,2026-04-20 09:14:41.703,35.0,185.35714285714286,1,0.8081
6F092,6E,IndiGo,MAA -> BLR,2026-04-20 08:39:41.702,2026-04-20 09:15:41.702,36.0,172.8153846153846,0,0.5939
AI208,AI,Air India,BLR -> BOM,2026-04-20 08:38:41.703,2026-04-20 11:52:41.703,194.0,147.73333333333332,0,0.2937
SJ227,SJ,SpiceJet,BOM -> CCU,2026-04-20 08:32:41.704,2026-04-20 12:53:41.704,261.0,169.51111111111112,0,0.1811
6F238,6E,IndiGo,BOM -> DEL,2026-04-20 08:31:41.704,2026-04-20 09:19:41.704,48.0,153.82051282051282,0,0.2175
AI084,AI,Air India,BOM -> HYD,2026-04-20 08:31:41.702,2026-04-20 09:46:41.702,75.0,180.84615384615384,0,0.3648
